albert_park;-37.842;144.95
americas;30.13661;-97.630692
bak;40.3725;49.853333
catalunya;41.568664392;2.25666564
bahrain;26.026166562;50.506331308
monaco;43.734722;7.420556
hockenheimring;49.32333204;8.559497762
hungaroring;47.573997704;19.24249903
interlagos;-23.700833;-46.696667
marina_bay;1.2881738473;103.858484899
monaco;43.73416373;7.418998324
monza;45.618997524;9.286998852
red_bull_ring;47.218499126;14.758830298
ricard;43.250332332;5.78833018
rodriguez;19.4025167233;-99.0865813203
shanghai;31.33666532;121.218499126
silverstone;52.073833038;-1.016833266
sochi;43.405556;39.957778
spa;50.435664924;5.969496122
suzuka;34.83916331;136.537664516
villeneuve;45.503497986;-73.522664576
yas_marina;24.466998132;54.601830926
